,Oznaka,Ime_podjetja,Cena,Sprememba_cene,Sprememba_v_odstotkih,PE_razmerje,Stevilo_delnic,Sprememba_do_danes
246,CSTR,COINSTAR INC,16.19,-0.16,-0.98,20.5,0.000204,-2.76
247,CLNY,COLONY FINANCIAL INC,4.84,0.01,0.21,0.0,0.016,1.89
248,COLB,COLUMBIA BKG SYSTEM INC,39.19,-0.31,-0.78,14.8,0.002442,-3.67
249,COLM,COLUMBIA SPORTSWEAR CO,99.75,-0.62,-0.62,20.9,0.003075,-0.44
250,CMCO,COLUMBUS MCKINNON CORP,38.65,-0.47,-1.2,17.0,0.0028120000000000003,-3.45
251,FIX,COMFORT SYSTEMS USA INC,48.37,-0.35,-0.72,17.1,0.0017829999999999999,-2.97
252,CMC,COMMERCIAL METALS CO,22.8,-0.37,-1.6,10.4,0.021,2.38
253,CVGI,COMMERCIAL VEH GROUP IN,6.0,-0.16,-2.6,5.2,0.001338,-5.51
254,CBU,COMMUNITY BANK SYSTEMS,71.21,0.5,0.71,22.3,0.0033909999999999995,0.38
255,CTBI,COMMUNITY TRUST BANCORP,46.04,-0.1,-0.22,12.7,0.000251,-1.29
256,CVLT,COMMVAULT SYSTEMS INC,45.6,0.39,0.86,0.0,0.007001,2.15
257,CPSI,COMPUTER PROGRAMS & SYS,26.0,0.2,0.78,21.8,0.000901,-1.52
258,CTG,COMPUTER TASK GROUP INC,5.21,0.06,1.17,0.0,0.00014,0.58
259,CIX,COMPX INTERNATIONAL,15.2,0.2,1.33,12.4,6.44e-06,4.18
260,SCOR,COMSCORE INC,5.22,0.09,1.75,0.0,0.004007,5.67
261,CRK,COMSTOCK RESOURCES INC,7.81,-0.1,-1.26,0.0,0.004638000000000001,-5.1
262,CMTL,COMTECH TELECOMM,36.18,-0.02,-0.06,31.5,0.001091,1.94
263,CNMD,CONMED CORP,111.24,1.06,0.96,110.1,0.0020859999999999997,-0.53
264,CNOB,CONNECTONE BANCORP INC,25.46,-0.26,-1.01,12.5,0.000643,-1.01
265,CONN,CONNS INC,10.62,-0.39,-3.54,4.0,0.013,-14.29
266,CNSL,CONSOLIDATED COMM,4.0,0.08,2.04,0.0,0.008425,3.09
267,CTO,CONSOLIDATED TOMOKA LAN,61.5,0.23,0.38,10.2,0.00011100000000000001,1.96
268,CWCO,CONSOLIDATED WATER CO,16.22,-0.15,-0.92,27.0,0.000705,-0.49
269,CPSS,CONSUMER PORTFOLIO SVCS,3.42,0.0,0.0,8.0,6.499999999999999e-07,1.48
270,MCF,CONTANGO OIL & GAS CO,3.78,0.28,8.0,0.0,0.002744,3.0
271,CTB,COOPER TIRE & RUBBER CO,27.85,-0.33,-1.17,31.3,0.001973,-3.13
272,CORT,CORCEPT THERAPEUTICS IN,12.08,0.15,1.26,17.0,0.006554000000000001,-0.17
273,CORE,CORE MARK HOLDING CO IN,25.09,-0.63,-2.45,21.4,0.0018920000000000002,-7.72
274,COR,CORESITE REALTY CORP,111.04,0.06,0.05,53.4,0.0035340000000000002,-0.96
275,CSOD,CORNERSTONE ONDEMAND IN,59.3,-0.02,-0.03,0.0,0.003182,1.28
276,CRTX,CORNERSTONE THERAPEUTIC,47.9,4.76,11.03,0.0,0.002916,-14.68
277,CRVL,CORVEL CORP,91.73,0.88,0.97,35.7,0.000552,5.0
278,CSGP,COSTAR GROUP INC,629.69,4.31,0.69,74.2,0.00209,5.25
279,CUZ,COUSINS PROPERTIES INC,40.29,0.01,0.02,82.2,0.004009,-2.21
280,COWN,COWEN GROUP INC,16.55,0.01,0.06,29.6,0.001189,5.08
281,CRAI,CRA INTERNATIONAL INC,54.49,-0.3,-0.55,19.9,0.000236,0.04
282,CBRL,CRACKER BARREL STORE,154.93,-1.78,-1.14,17.0,0.002961,0.77
283,BREW,CRAFT BREW ALLIANCE,16.48,-0.02,-0.12,0.0,0.001538,-0.12
